"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
251,07/15/16 04:30:00 AM,1.27656,13.257,,,
252,07/15/16 04:45:00 AM,1.27656,13.185,,,
253,07/15/16 05:00:00 AM,1.27595,13.112,,,
254,07/15/16 05:15:00 AM,1.27656,13.040,,,
255,07/15/16 05:30:00 AM,1.27595,12.968,,,
256,07/15/16 05:45:00 AM,1.27656,12.896,,,
257,07/15/16 06:00:00 AM,1.27595,12.847,,,
258,07/15/16 06:15:00 AM,1.27656,12.799,,,
259,07/15/16 06:30:00 AM,1.27656,12.751,,,
260,07/15/16 06:45:00 AM,1.27595,12.751,,,
261,07/15/16 07:00:00 AM,1.27595,12.751,,,
262,07/15/16 07:15:00 AM,1.27595,12.775,,,
263,07/15/16 07:30:00 AM,1.27595,12.799,,,
264,07/15/16 07:45:00 AM,1.27656,12.896,,,
265,07/15/16 08:00:00 AM,1.27656,13.016,,,
266,07/15/16 08:15:00 AM,1.27595,13.161,,,
267,07/15/16 08:30:00 AM,1.27656,13.329,,,
268,07/15/16 08:45:00 AM,1.27656,13.473,,,
269,07/15/16 09:00:00 AM,1.27717,13.594,,,
270,07/15/16 09:15:00 AM,1.27717,13.714,,,
271,07/15/16 09:30:00 AM,1.27717,13.810,,,
272,07/15/16 09:45:00 AM,1.27717,13.930,,,
273,07/15/16 10:00:00 AM,1.27778,14.026,,,
274,07/15/16 10:15:00 AM,1.27778,14.218,,,
275,07/15/16 10:30:00 AM,1.27839,14.385,,,
276,07/15/16 10:45:00 AM,1.27839,14.553,,,
277,07/15/16 11:00:00 AM,1.27839,14.697,,,
278,07/15/16 11:15:00 AM,1.27839,14.888,,,
279,07/15/16 11:30:00 AM,1.27839,14.649,,,
280,07/15/16 11:45:00 AM,1.27900,15.008,,,
281,07/15/16 12:00:00 PM,1.27961,15.079,,,
282,07/15/16 12:15:00 PM,1.27961,15.294,,,
283,07/15/16 12:30:00 PM,1.28022,15.652,,,
284,07/15/16 12:45:00 PM,1.28022,15.629,,,
285,07/15/16 01:00:00 PM,1.28022,15.748,,,
286,07/15/16 01:15:00 PM,1.28022,15.676,,,
287,07/15/16 01:30:00 PM,1.28022,15.676,,,
288,07/15/16 01:45:00 PM,1.28083,15.963,,,
289,07/15/16 02:00:00 PM,1.28022,16.487,,,
290,07/15/16 02:15:00 PM,1.28022,16.368,,,
291,07/15/16 02:30:00 PM,1.28083,16.415,,,
292,07/15/16 02:45:00 PM,1.28144,17.058,,,
293,07/15/16 03:00:00 PM,1.28083,17.582,,,
294,07/15/16 03:15:00 PM,1.28205,17.962,,,
295,07/15/16 03:30:00 PM,1.28205,17.558,,,
296,07/15/16 03:45:00 PM,1.28266,17.510,,,
297,07/15/16 04:00:00 PM,1.28205,17.486,,,
298,07/15/16 04:15:00 PM,1.28266,17.486,,,
299,07/15/16 04:30:00 PM,1.28327,17.796,,,
300,07/15/16 04:45:00 PM,1.28327,17.915,,,
301,07/15/16 05:00:00 PM,1.28327,18.105,,,
302,07/15/16 05:15:00 PM,1.28327,18.176,,,
303,07/15/16 05:30:00 PM,1.28327,18.152,,,
304,07/15/16 05:45:00 PM,1.28327,17.986,,,
305,07/15/16 06:00:00 PM,1.28388,18.057,,,
306,07/15/16 06:15:00 PM,1.28266,17.986,,,
307,07/15/16 06:30:00 PM,1.27961,18.033,,,
308,07/15/16 06:45:00 PM,1.27839,18.033,,,
309,07/15/16 07:00:00 PM,1.27778,17.938,,,
310,07/15/16 07:15:00 PM,1.27350,17.772,,,
311,07/15/16 07:30:00 PM,1.27778,17.701,,,
312,07/15/16 07:45:00 PM,1.27778,17.558,,,
313,07/15/16 08:00:00 PM,1.27778,17.415,,,
314,07/15/16 08:15:00 PM,1.27778,17.296,,,
315,07/15/16 08:30:00 PM,1.27839,17.153,,,
316,07/15/16 08:45:00 PM,1.27839,17.034,,,
317,07/15/16 09:00:00 PM,1.27839,16.915,,,
318,07/15/16 09:15:00 PM,1.27900,16.773,,,
319,07/15/16 09:30:00 PM,1.27900,16.654,,,
320,07/15/16 09:45:00 PM,1.27961,16.511,,,
321,07/15/16 10:00:00 PM,1.27717,16.368,,,
322,07/15/16 10:15:00 PM,1.27961,16.225,,,
323,07/15/16 10:30:00 PM,1.27961,16.082,,,
324,07/15/16 10:45:00 PM,1.27961,15.963,,,
325,07/15/16 11:00:00 PM,1.27961,15.796,,,
326,07/15/16 11:15:00 PM,1.27961,15.700,,,
327,07/15/16 11:30:00 PM,1.27961,15.605,,,
328,07/15/16 11:45:00 PM,1.27961,15.461,,,
329,07/16/16 12:00:00 AM,1.27961,15.342,,,
330,07/16/16 12:15:00 AM,1.27961,15.247,,,
331,07/16/16 12:30:00 AM,1.27961,15.151,,,
332,07/16/16 12:45:00 AM,1.27961,15.175,,,
333,07/16/16 01:00:00 AM,1.27961,15.127,,,
334,07/16/16 01:15:00 AM,1.27961,14.888,,,
