"Titre de tracé : t2_2022"
"#","Date Heure, GMT+01:00","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM1)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM2)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM3)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM4)","Hôte connecté (LGR S/N: 21065775)","Arrêté (LGR S/N: 21065775)","Fin de fichier (LGR S/N: 21065775)"
216,03/04/22 09:45:00 PM,48.600,48.632,47.545,47.136,,,
217,03/04/22 10:00:00 PM,48.555,48.609,47.557,47.149,,,
218,03/04/22 10:15:00 PM,48.510,48.583,47.568,47.160,,,
219,03/04/22 10:30:00 PM,48.457,48.553,47.577,47.170,,,
220,03/04/22 10:45:00 PM,48.402,48.519,47.584,47.179,,,
221,03/04/22 11:00:00 PM,48.346,48.483,47.593,47.190,,,
222,03/04/22 11:15:00 PM,48.283,48.441,47.599,47.199,,,
223,03/04/22 11:30:00 PM,48.216,48.400,47.602,47.206,,,
224,03/04/22 11:45:00 PM,48.142,48.351,47.608,47.215,,,
225,03/05/22 12:00:00 AM,48.067,48.301,47.610,47.224,,,
226,03/05/22 12:15:00 AM,47.988,48.247,47.610,47.232,,,
227,03/05/22 12:30:00 AM,47.903,48.187,47.610,47.237,,,
228,03/05/22 12:45:00 AM,47.817,48.126,47.610,47.244,,,
229,03/05/22 01:00:00 AM,47.727,48.065,47.608,47.250,,,
230,03/05/22 01:15:00 AM,47.638,47.998,47.602,47.255,,,
231,03/05/22 01:30:00 AM,47.543,47.928,47.595,47.257,,,
232,03/05/22 01:45:00 AM,47.448,47.856,47.590,47.262,,,
233,03/05/22 02:00:00 AM,47.350,47.782,47.583,47.266,,,
234,03/05/22 02:15:00 AM,47.251,47.707,47.570,47.266,,,
235,03/05/22 02:30:00 AM,47.149,47.629,47.559,47.266,,,
236,03/05/22 02:45:00 AM,47.048,47.548,47.548,47.266,,,
237,03/05/22 03:00:00 AM,46.942,47.467,47.534,47.266,,,
238,03/05/22 03:15:00 AM,46.837,47.386,47.518,47.266,,,
239,03/05/22 03:30:00 AM,46.731,47.302,47.502,47.262,,,
240,03/05/22 03:45:00 AM,46.632,47.219,47.484,47.257,,,
241,03/05/22 04:00:00 AM,46.522,47.136,47.464,47.255,,,
242,03/05/22 04:15:00 AM,46.425,47.053,47.446,47.250,,,
243,03/05/22 04:30:00 AM,46.326,46.969,47.422,47.244,,,
244,03/05/22 04:45:00 AM,46.233,46.884,47.397,47.235,,,
245,03/05/22 05:00:00 AM,46.135,46.801,47.376,47.230,,,
246,03/05/22 05:15:00 AM,46.031,46.717,47.350,47.219,,,
247,03/05/22 05:30:00 AM,45.928,46.632,47.322,47.210,,,
248,03/05/22 05:45:00 AM,45.833,46.548,47.295,47.199,,,
249,03/05/22 06:00:00 AM,45.734,46.463,47.266,47.188,,,
250,03/05/22 06:15:00 AM,45.639,46.382,47.237,47.176,,,
251,03/05/22 06:30:00 AM,45.541,46.297,47.206,47.161,,,
252,03/05/22 06:45:00 AM,45.450,46.216,47.176,47.151,,,
253,03/05/22 07:00:00 AM,45.352,46.132,47.145,47.134,,,
254,03/05/22 07:15:00 AM,45.268,46.053,47.111,47.120,,,
255,03/05/22 07:30:00 AM,45.178,45.973,47.079,47.104,,,
256,03/05/22 07:45:00 AM,45.093,45.894,47.044,47.086,,,
257,03/05/22 08:00:00 AM,45.010,45.817,47.010,47.070,,,
258,03/05/22 08:15:00 AM,44.928,45.739,46.978,47.053,,,
259,03/05/22 08:30:00 AM,44.848,45.666,46.942,47.034,,,
260,03/05/22 08:45:00 AM,44.778,45.594,46.904,47.017,,,
261,03/05/22 09:00:00 AM,44.719,45.525,46.868,46.998,,,
262,03/05/22 09:15:00 AM,44.659,45.462,46.832,46.974,,,
263,03/05/22 09:30:00 AM,44.627,45.406,46.794,46.954,,,
264,03/05/22 09:45:00 AM,44.591,45.356,46.758,46.935,,,
265,03/05/22 10:00:00 AM,44.562,45.311,46.722,46.913,,,
266,03/05/22 10:15:00 AM,44.551,45.277,46.686,46.890,,,
267,03/05/22 10:30:00 AM,44.544,45.248,46.648,46.868,,,
268,03/05/22 10:45:00 AM,44.553,45.226,46.612,46.846,,,
269,03/05/22 11:00:00 AM,44.573,45.212,46.578,46.823,,,
270,03/05/22 11:15:00 AM,44.605,45.208,46.542,46.801,,,
271,03/05/22 11:30:00 AM,44.641,45.212,46.508,46.778,,,
272,03/05/22 11:45:00 AM,44.690,45.223,46.477,46.756,,,
273,03/05/22 12:00:00 PM,44.746,45.239,46.447,46.731,,,
274,03/05/22 12:15:00 PM,44.812,45.268,46.418,46.708,,,
275,03/05/22 12:30:00 PM,44.883,45.298,46.391,46.688,,,
276,03/05/22 12:45:00 PM,44.960,45.338,46.366,46.666,,,
277,03/05/22 01:00:00 PM,45.039,45.381,46.341,46.643,,,
278,03/05/22 01:15:00 PM,45.120,45.430,46.321,46.623,,,
279,03/05/22 01:30:00 PM,45.207,45.482,46.301,46.603,,,
280,03/05/22 01:45:00 PM,45.293,45.536,46.281,46.585,,,
281,03/05/22 02:00:00 PM,45.385,45.595,46.267,46.566,,,
282,03/05/22 02:15:00 PM,45.475,45.655,46.252,46.548,,,
283,03/05/22 02:30:00 PM,45.561,45.718,46.242,46.531,,,
284,03/05/22 02:45:00 PM,45.653,45.779,46.233,46.513,,,
285,03/05/22 03:00:00 PM,45.745,45.844,46.225,46.501,,,
286,03/05/22 03:15:00 PM,45.837,45.912,46.222,46.486,,,
287,03/05/22 03:30:00 PM,45.928,45.979,46.216,46.476,,,
288,03/05/22 03:45:00 PM,46.022,46.051,46.216,46.463,,,
289,03/05/22 04:00:00 PM,46.108,46.121,46.216,46.452,,,
290,03/05/22 04:15:00 PM,46.191,46.188,46.218,46.443,,,
291,03/05/22 04:30:00 PM,46.270,46.256,46.222,46.436,,,
292,03/05/22 04:45:00 PM,46.348,46.321,46.227,46.427,,,
293,03/05/22 05:00:00 PM,46.418,46.382,46.236,46.422,,,
294,03/05/22 05:15:00 PM,46.488,46.443,46.243,46.416,,,
295,03/05/22 05:30:00 PM,46.551,46.503,46.252,46.413,,,
296,03/05/22 05:45:00 PM,46.612,46.558,46.263,46.411,,,
297,03/05/22 06:00:00 PM,46.666,46.612,46.276,46.407,,,
