Plot Title: hobo11,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature1)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature2)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature3)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065777),Arrêté (LGR S/N: 21065777),Fin de fichier (LGR S/N: 21065777)
261,2009/12/24 10:00,13.924,14.214,14.652,14.987,,,
262,2009/12/24 10:15,13.873,14.384,14.768,14.997,,,
263,2009/12/24 10:30,13.865,14.382,14.755,14.989,,,
264,2009/12/24 10:45,13.861,14.268,14.664,14.973,,,
265,2009/12/24 11:00,13.858,14.303,14.756,14.991,,,
266,2009/12/24 11:15,13.856,14.246,14.646,14.951,,,
267,2009/12/24 11:30,13.858,14.253,14.694,14.963,,,
268,2009/12/24 11:45,13.856,14.18,14.64,14.937,,,
269,2009/12/24 12:00,13.853,14.207,14.631,14.916,,,
270,2009/12/24 12:15,13.85,14.192,14.702,14.927,,,
271,2009/12/24 12:30,13.864,14.14,14.53,14.843,,,
272,2009/12/24 12:45,13.853,14.141,14.667,14.901,,,
273,2009/12/24 13:00,13.853,14.087,14.662,14.898,,,
274,2009/12/24 13:15,13.849,14.098,14.622,14.904,,,
275,2009/12/24 13:30,13.844,14.104,14.59,14.882,,,
276,2009/12/24 13:45,13.843,14.12,14.626,14.892,,,
277,2009/12/24 14:00,13.844,14.108,14.598,14.874,,,
278,2009/12/24 14:15,13.849,14.083,14.587,14.834,,,
279,2009/12/24 14:30,13.852,14.087,14.578,14.891,,,
280,2009/12/24 14:45,13.856,14.083,14.547,14.825,,,
281,2009/12/24 15:00,13.864,14.068,14.539,14.839,,,
282,2009/12/24 15:15,13.87,14.078,14.553,14.821,,,
283,2009/12/24 15:30,13.874,14.086,14.536,14.831,,,
284,2009/12/24 15:45,13.879,14.093,14.533,14.812,,,
285,2009/12/24 16:00,13.886,14.069,14.571,14.803,,,
286,2009/12/24 16:15,13.891,14.081,14.523,14.792,,,
287,2009/12/24 16:30,13.894,14.08,14.557,14.809,,,
288,2009/12/24 16:45,13.898,14.089,14.498,14.779,,,
289,2009/12/24 17:00,13.898,14.093,14.56,14.798,,,
290,2009/12/24 17:15,13.897,14.09,14.511,14.798,,,
291,2009/12/24 17:30,13.895,14.104,14.508,14.771,,,
292,2009/12/24 17:45,13.894,14.089,14.448,14.825,,,
293,2009/12/24 18:00,13.892,14.081,14.505,14.786,,,
294,2009/12/24 18:15,13.892,14.078,14.509,14.783,,,
295,2009/12/24 18:30,13.891,14.083,14.486,14.759,,,
296,2009/12/24 18:45,13.888,14.078,14.498,14.768,,,
297,2009/12/24 19:00,13.889,14.075,14.505,14.774,,,
298,2009/12/24 19:15,13.886,14.113,14.43,14.74,,,
299,2009/12/24 19:30,13.889,14.093,14.454,14.737,,,
300,2009/12/24 19:45,13.888,14.066,14.483,14.749,,,
301,2009/12/24 20:00,13.888,14.062,14.438,14.72,,,
302,2009/12/24 20:15,13.882,14.075,14.433,14.711,,,
303,2009/12/24 20:30,13.873,14.072,14.45,14.714,,,
304,2009/12/24 20:45,13.87,14.063,14.46,14.726,,,
305,2009/12/24 21:00,13.862,14.056,14.468,14.713,,,
306,2009/12/24 21:15,13.853,14.081,14.435,14.704,,,
307,2009/12/24 21:30,13.846,14.074,14.403,14.692,,,
308,2009/12/24 21:45,13.837,14.063,14.415,14.691,,,
309,2009/12/24 22:00,13.826,14.041,14.396,14.691,,,
310,2009/12/24 22:15,13.813,14.08,14.423,14.685,,,
311,2009/12/24 22:30,13.804,14.051,14.426,14.688,,,
312,2009/12/24 22:45,13.795,14.005,14.433,14.683,,,
313,2009/12/24 23:00,13.784,14.011,14.376,14.653,,,
314,2009/12/24 23:15,13.775,14.044,14.418,14.699,,,
315,2009/12/24 23:30,13.763,13.994,14.373,14.649,,,
316,2009/12/24 23:45,13.753,13.988,14.369,14.622,,,
317,09/13/24 12:00:00 AM,13.738,13.976,14.34,14.628,,,
318,09/13/24 12:15:00 AM,13.727,14.002,14.376,14.641,,,
319,09/13/24 12:30:00 AM,13.714,13.97,14.381,14.644,,,
320,09/13/24 12:45:00 AM,13.702,13.94,14.363,14.646,,,
321,09/13/24 01:00:00 AM,13.688,13.919,14.364,14.64,,,
322,09/13/24 01:15:00 AM,13.676,13.922,14.357,14.632,,,
323,09/13/24 01:30:00 AM,13.663,13.93,14.343,14.625,,,
324,09/13/24 01:45:00 AM,13.648,13.903,14.333,14.614,,,
325,09/13/24 02:00:00 AM,13.634,13.904,14.331,14.605,,,
326,09/13/24 02:15:00 AM,13.62,13.886,14.319,14.604,,,
327,09/13/24 02:30:00 AM,13.605,13.889,14.316,14.589,,,
328,09/13/24 02:45:00 AM,13.592,13.861,14.304,14.58,,,
329,09/13/24 03:00:00 AM,13.578,13.864,14.298,14.569,,,
330,09/13/24 03:15:00 AM,13.563,13.849,14.286,14.563,,,
331,09/13/24 03:30:00 AM,13.55,13.861,14.282,14.554,,,
332,09/13/24 03:45:00 AM,13.535,13.846,14.268,14.547,,,
333,09/13/24 04:00:00 AM,13.52,13.825,14.264,14.536,,,
334,09/13/24 04:15:00 AM,13.505,13.816,14.247,14.532,,,
335,09/13/24 04:30:00 AM,13.488,13.777,14.24,14.52,,,
336,09/13/24 04:45:00 AM,13.472,13.804,14.226,14.512,,,
337,09/13/24 05:00:00 AM,13.455,13.78,14.219,14.501,,,
338,09/13/24 05:15:00 AM,13.44,13.766,14.214,14.495,,,
339,09/13/24 05:30:00 AM,13.427,13.925,14.173,14.492,,,
340,09/13/24 05:45:00 AM,13.434,13.666,14.294,14.357,,,
341,09/13/24 06:00:00 AM,13.419,13.602,14.307,14.363,,,
342,09/13/24 06:15:00 AM,13.413,13.634,14.274,14.331,,,
343,09/13/24 06:30:00 AM,13.371,13.775,14.159,14.393,,,
344,09/13/24 06:45:00 AM,13.336,13.766,14.147,14.409,,,
345,09/13/24 07:00:00 AM,13.314,13.742,14.203,14.4,,,
346,09/13/24 07:15:00 AM,13.29,13.711,14.146,14.417,,,
347,09/13/24 07:30:00 AM,13.269,13.688,14.191,14.367,,,
348,09/13/24 07:45:00 AM,13.255,13.754,14.141,14.36,,,
349,09/13/24 08:00:00 AM,13.239,13.705,14.047,14.339,,,
