"Titre de tracé : Hobo33"
"#","Date Heure, GMT+02:00","Tension, V (LGR S/N: 10117169, SEN S/N: 10117169)","Temp., °C (LGR S/N: 10117169, SEN S/N: 10117169)"
307,07/26/15 06:30:00 PM,0.57082,14.433
308,07/26/15 06:45:00 PM,0.57082,14.433
309,07/26/15 07:00:00 PM,0.57082,14.433
310,07/26/15 07:15:00 PM,0.57082,14.433
311,07/26/15 07:30:00 PM,0.57082,14.433
312,07/26/15 07:45:00 PM,0.57082,14.433
313,07/26/15 08:00:00 PM,0.57082,14.457
314,07/26/15 08:15:00 PM,0.57082,14.433
315,07/26/15 08:30:00 PM,0.57082,14.433
316,07/26/15 08:45:00 PM,0.57082,14.457
317,07/26/15 09:00:00 PM,0.57082,14.481
318,07/26/15 09:15:00 PM,0.57082,14.481
319,07/26/15 09:30:00 PM,0.57021,14.505
320,07/26/15 09:45:00 PM,0.57021,14.529
321,07/26/15 10:00:00 PM,0.57021,14.553
322,07/26/15 10:15:00 PM,0.57021,14.577
323,07/26/15 10:30:00 PM,0.57021,14.601
324,07/26/15 10:45:00 PM,0.57021,14.625
325,07/26/15 11:00:00 PM,0.57021,14.625
326,07/26/15 11:15:00 PM,0.57021,14.673
327,07/26/15 11:30:00 PM,0.56960,14.673
328,07/26/15 11:45:00 PM,0.57021,14.673
329,07/27/15 12:00:00 AM,0.56960,14.697
330,07/27/15 12:15:00 AM,0.56960,14.697
331,07/27/15 12:30:00 AM,0.56960,14.721
332,07/27/15 12:45:00 AM,0.56960,14.721
333,07/27/15 01:00:00 AM,0.56960,14.721
334,07/27/15 01:15:00 AM,0.56960,14.721
335,07/27/15 01:30:00 AM,0.56960,14.721
336,07/27/15 01:45:00 AM,0.56960,14.721
337,07/27/15 02:00:00 AM,0.56899,14.745
338,07/27/15 02:15:00 AM,0.56960,14.745
339,07/27/15 02:30:00 AM,0.56899,14.745
340,07/27/15 02:45:00 AM,0.56899,14.768
341,07/27/15 03:00:00 AM,0.56899,14.768
342,07/27/15 03:15:00 AM,0.56899,14.768
343,07/27/15 03:30:00 AM,0.56899,14.768
344,07/27/15 03:45:00 AM,0.56899,14.768
345,07/27/15 04:00:00 AM,0.56899,14.768
346,07/27/15 04:15:00 AM,0.56899,14.768
347,07/27/15 04:30:00 AM,0.56838,14.768
348,07/27/15 04:45:00 AM,0.56838,14.768
349,07/27/15 05:00:00 AM,0.56838,14.768
350,07/27/15 05:15:00 AM,0.56838,14.745
351,07/27/15 05:30:00 AM,0.56899,14.745
352,07/27/15 05:45:00 AM,0.56899,14.745
353,07/27/15 06:00:00 AM,0.56838,14.745
354,07/27/15 06:15:00 AM,0.56838,14.745
355,07/27/15 06:30:00 AM,0.56838,14.745
356,07/27/15 06:45:00 AM,0.56838,14.745
357,07/27/15 07:00:00 AM,0.56838,14.745
358,07/27/15 07:15:00 AM,0.56838,14.745
359,07/27/15 07:30:00 AM,0.56838,14.745
360,07/27/15 07:45:00 AM,0.56838,14.745
361,07/27/15 08:00:00 AM,0.56777,14.792
362,07/27/15 08:15:00 AM,0.56838,14.816
363,07/27/15 08:30:00 AM,0.56777,14.792
364,07/27/15 08:45:00 AM,0.56777,14.816
365,07/27/15 09:00:00 AM,0.56777,14.864
366,07/27/15 09:15:00 AM,0.56777,14.888
367,07/27/15 09:30:00 AM,0.56777,14.888
368,07/27/15 09:45:00 AM,0.56777,14.912
369,07/27/15 10:00:00 AM,0.56716,14.912
370,07/27/15 10:15:00 AM,0.56716,14.912
371,07/27/15 10:30:00 AM,0.56716,14.960
372,07/27/15 10:45:00 AM,0.56716,15.127
373,07/27/15 11:00:00 AM,0.56716,15.079
374,07/27/15 11:15:00 AM,0.56654,15.055
375,07/27/15 11:30:00 AM,0.56654,15.079
376,07/27/15 11:45:00 AM,0.56654,15.127
377,07/27/15 12:00:00 PM,0.56654,15.151
378,07/27/15 12:15:00 PM,0.56654,15.175
379,07/27/15 12:30:00 PM,0.56654,15.223
380,07/27/15 12:45:00 PM,0.56593,15.199
381,07/27/15 01:00:00 PM,0.56593,15.270
382,07/27/15 01:15:00 PM,0.56593,15.366
383,07/27/15 01:30:00 PM,0.56593,15.366
384,07/27/15 01:45:00 PM,0.56593,15.414
385,07/27/15 02:00:00 PM,0.56593,15.461
386,07/27/15 02:15:00 PM,0.56532,15.438
387,07/27/15 02:30:00 PM,0.56471,15.485
388,07/27/15 02:45:00 PM,0.56471,15.533
389,07/27/15 03:00:00 PM,0.56471,15.581
390,07/27/15 03:15:00 PM,0.56471,15.629
391,07/27/15 03:30:00 PM,0.56410,15.629
392,07/27/15 03:45:00 PM,0.56410,15.676
393,07/27/15 04:00:00 PM,0.56410,15.700
394,07/27/15 04:15:00 PM,0.56410,15.724
395,07/27/15 04:30:00 PM,0.56349,15.748
396,07/27/15 04:45:00 PM,0.56410,15.772
397,07/27/15 05:00:00 PM,0.56349,15.796
398,07/27/15 05:15:00 PM,0.56349,15.819
399,07/27/15 05:30:00 PM,0.56349,15.843
400,07/27/15 05:45:00 PM,0.56288,15.867
401,07/27/15 06:00:00 PM,0.56288,15.867
402,07/27/15 06:15:00 PM,0.56288,15.891
403,07/27/15 06:30:00 PM,0.56227,15.891
404,07/27/15 06:45:00 PM,0.56227,15.891
405,07/27/15 07:00:00 PM,0.56227,15.915
406,07/27/15 07:15:00 PM,0.56227,15.915
407,07/27/15 07:30:00 PM,0.56166,15.915
408,07/27/15 07:45:00 PM,0.56166,15.915
409,07/27/15 08:00:00 PM,0.56105,15.915
410,07/27/15 08:15:00 PM,0.56044,15.891
411,07/27/15 08:30:00 PM,0.56044,15.891
412,07/27/15 08:45:00 PM,0.56044,15.915
413,07/27/15 09:00:00 PM,0.56044,15.915
414,07/27/15 09:15:00 PM,0.55983,15.915
415,07/27/15 09:30:00 PM,0.55922,15.915
416,07/27/15 09:45:00 PM,0.55861,15.915
417,07/27/15 10:00:00 PM,0.55861,15.915
418,07/27/15 10:15:00 PM,0.55678,15.891
419,07/27/15 10:30:00 PM,0.55678,15.891
420,07/27/15 10:45:00 PM,0.55678,15.891
421,07/27/15 11:00:00 PM,0.55617,15.867
422,07/27/15 11:15:00 PM,0.55556,15.867
423,07/27/15 11:30:00 PM,0.55556,15.843
424,07/27/15 11:45:00 PM,0.55556,15.819
425,07/28/15 12:00:00 AM,0.55495,15.819
426,07/28/15 12:15:00 AM,0.55495,15.772
427,07/28/15 12:30:00 AM,0.55495,15.772
428,07/28/15 12:45:00 AM,0.55556,15.748
429,07/28/15 01:00:00 AM,0.55495,15.724
430,07/28/15 01:15:00 AM,0.55739,15.700
431,07/28/15 01:30:00 AM,0.55495,15.676
432,07/28/15 01:45:00 AM,0.55495,15.676
433,07/28/15 02:00:00 AM,0.55495,15.652
434,07/28/15 02:15:00 AM,0.55433,15.629
435,07/28/15 02:30:00 AM,0.55433,15.605
436,07/28/15 02:45:00 AM,0.55433,15.581
437,07/28/15 03:00:00 AM,0.55433,15.557
438,07/28/15 03:15:00 AM,0.55433,15.509
439,07/28/15 03:30:00 AM,0.55433,15.485
440,07/28/15 03:45:00 AM,0.55617,15.461
441,07/28/15 04:00:00 AM,0.55556,15.438
442,07/28/15 04:15:00 AM,0.55433,15.414
443,07/28/15 04:30:00 AM,0.55433,15.390
444,07/28/15 04:45:00 AM,0.55433,15.366
445,07/28/15 05:00:00 AM,0.55556,15.342
446,07/28/15 05:15:00 AM,0.55433,15.294
447,07/28/15 05:30:00 AM,0.55433,15.270
448,07/28/15 05:45:00 AM,0.55372,15.247
449,07/28/15 06:00:00 AM,0.55433,15.223
450,07/28/15 06:15:00 AM,0.55433,15.223
451,07/28/15 06:30:00 AM,0.55433,15.199
452,07/28/15 06:45:00 AM,0.55372,15.151
453,07/28/15 07:00:00 AM,0.55372,15.151
454,07/28/15 07:15:00 AM,0.55372,15.103
455,07/28/15 07:30:00 AM,0.55372,15.079
456,07/28/15 07:45:00 AM,0.55433,15.079
457,07/28/15 08:00:00 AM,0.55495,15.055
458,07/28/15 08:15:00 AM,0.55495,15.055
459,07/28/15 08:30:00 AM,0.55433,15.031
460,07/28/15 08:45:00 AM,0.55372,15.008
461,07/28/15 09:00:00 AM,0.55372,15.008
462,07/28/15 09:15:00 AM,0.55372,15.055
463,07/28/15 09:30:00 AM,0.55372,15.055
464,07/28/15 09:45:00 AM,0.55433,15.079
465,07/28/15 10:00:00 AM,0.55372,15.127
466,07/28/15 10:15:00 AM,0.55372,15.055
467,07/28/15 10:30:00 AM,0.55372,15.055
468,07/28/15 10:45:00 AM,0.55311,15.127
469,07/28/15 11:00:00 AM,0.55372,15.055
470,07/28/15 11:15:00 AM,0.55311,15.079
471,07/28/15 11:30:00 AM,0.55311,15.103
472,07/28/15 11:45:00 AM,0.55311,15.079
473,07/28/15 12:00:00 PM,0.55311,15.079
474,07/28/15 12:15:00 PM,0.55311,15.103
475,07/28/15 12:30:00 PM,0.55311,15.103
476,07/28/15 12:45:00 PM,0.55311,15.151
477,07/28/15 01:00:00 PM,0.55311,15.127
478,07/28/15 01:15:00 PM,0.55311,15.079
479,07/28/15 01:30:00 PM,0.55311,15.103
480,07/28/15 01:45:00 PM,0.55250,15.151
481,07/28/15 02:00:00 PM,0.55250,15.127
482,07/28/15 02:15:00 PM,0.55250,15.151
483,07/28/15 02:30:00 PM,0.55250,15.103
484,07/28/15 02:45:00 PM,0.55250,15.103
485,07/28/15 03:00:00 PM,0.55250,15.103
486,07/28/15 03:15:00 PM,0.55250,15.127
487,07/28/15 03:30:00 PM,0.55250,15.127
488,07/28/15 03:45:00 PM,0.55250,15.103
489,07/28/15 04:00:00 PM,0.55189,15.079
490,07/28/15 04:15:00 PM,0.55189,15.055
491,07/28/15 04:30:00 PM,0.55189,15.055
492,07/28/15 04:45:00 PM,0.55189,15.055
493,07/28/15 05:00:00 PM,0.55189,15.031
494,07/28/15 05:15:00 PM,0.55189,15.008
495,07/28/15 05:30:00 PM,0.55189,15.008
496,07/28/15 05:45:00 PM,0.55189,15.008
497,07/28/15 06:00:00 PM,0.55189,14.984
498,07/28/15 06:15:00 PM,0.55189,14.984
499,07/28/15 06:30:00 PM,0.55189,14.936
500,07/28/15 06:45:00 PM,0.55189,14.936
501,07/28/15 07:00:00 PM,0.55128,14.912
502,07/28/15 07:15:00 PM,0.55128,14.888
503,07/28/15 07:30:00 PM,0.55128,14.864
504,07/28/15 07:45:00 PM,0.55128,14.864
505,07/28/15 08:00:00 PM,0.55128,14.840
506,07/28/15 08:15:00 PM,0.55128,14.840
507,07/28/15 08:30:00 PM,0.55128,14.816
508,07/28/15 08:45:00 PM,0.55128,14.816
509,07/28/15 09:00:00 PM,0.55128,14.792
510,07/28/15 09:15:00 PM,0.55128,14.792
511,07/28/15 09:30:00 PM,0.55128,14.768
512,07/28/15 09:45:00 PM,0.55067,14.768
513,07/28/15 10:00:00 PM,0.55128,14.745
514,07/28/15 10:15:00 PM,0.55067,14.721
515,07/28/15 10:30:00 PM,0.55067,14.721
516,07/28/15 10:45:00 PM,0.55067,14.721
517,07/28/15 11:00:00 PM,0.55067,14.697
518,07/28/15 11:15:00 PM,0.55067,14.697
519,07/28/15 11:30:00 PM,0.55067,14.673
520,07/28/15 11:45:00 PM,0.55067,14.673
521,07/29/15 12:00:00 AM,0.55067,14.649
522,07/29/15 12:15:00 AM,0.55067,14.625
523,07/29/15 12:30:00 AM,0.55006,14.601
