"Titre de tracé : 21065769"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065769, SEN S/N: 21065769, LBL: tension)","Temp., °F (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature)","Temp., °F (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature boite)","Hôte connecté (LGR S/N: 21065769)","Arrêté (LGR S/N: 21065769)","Fin de fichier (LGR S/N: 21065769)"
221,03/04/22 10:00:00 PM,1.44202,48.443,225.725,,,
222,03/04/22 10:15:00 PM,1.44221,48.321,225.549,,,
223,03/04/22 10:30:00 PM,1.44305,48.213,225.304,,,
224,03/04/22 10:45:00 PM,1.44308,48.074,225.077,,,
225,03/04/22 11:00:00 PM,1.44465,47.928,224.937,,,
226,03/04/22 11:15:00 PM,1.44366,47.786,224.746,,,
227,03/04/22 11:30:00 PM,1.44759,47.629,224.607,,,
228,03/04/22 11:45:00 PM,1.44755,47.471,224.211,,,
229,03/05/22 12:00:00 AM,1.44888,47.302,224.038,,,
230,03/05/22 12:15:00 AM,1.45102,47.140,223.747,,,
231,03/05/22 12:30:00 AM,1.44995,46.978,223.390,,,
232,03/05/22 12:45:00 AM,1.45289,46.807,223.068,,,
233,03/05/22 01:00:00 AM,1.45483,46.641,222.933,,,
234,03/05/22 01:15:00 AM,1.45441,46.472,222.613,,,
235,03/05/22 01:30:00 AM,1.45514,46.315,222.278,,,
236,03/05/22 01:45:00 AM,1.45712,46.143,221.895,,,
237,03/05/22 02:00:00 AM,1.45930,45.986,221.580,,,
238,03/05/22 02:15:00 AM,1.46021,45.824,221.301,,,
239,03/05/22 02:30:00 AM,1.46220,45.669,220.955,,,
240,03/05/22 02:45:00 AM,1.46017,45.514,220.597,,,
241,03/05/22 03:00:00 AM,1.46155,45.361,220.305,,,
242,03/05/22 03:15:00 AM,1.46273,45.219,219.916,,,
243,03/05/22 03:30:00 AM,1.46273,45.073,219.596,,,
244,03/05/22 03:45:00 AM,1.46315,44.937,219.213,,,
245,03/05/22 04:00:00 AM,1.46517,44.794,218.831,,,
246,03/05/22 04:15:00 AM,1.46338,44.661,218.579,,,
247,03/05/22 04:30:00 AM,1.46574,44.524,218.201,,,
248,03/05/22 04:45:00 AM,1.46590,44.391,217.888,,,
249,03/05/22 05:00:00 AM,1.46746,44.278,217.515,,,
250,03/05/22 05:15:00 AM,1.46796,44.145,217.267,,,
251,03/05/22 05:30:00 AM,1.46990,44.019,216.928,,,
252,03/05/22 05:45:00 AM,1.47097,43.907,216.606,,,
253,03/05/22 06:00:00 AM,1.46914,43.794,216.286,,,
254,03/05/22 06:15:00 AM,1.47139,43.678,215.906,,,
255,03/05/22 06:30:00 AM,1.47276,43.565,215.575,,,
256,03/05/22 06:45:00 AM,1.47387,43.453,215.289,,,
257,03/05/22 07:00:00 AM,1.47238,43.347,215.006,,,
258,03/05/22 07:15:00 AM,1.47204,43.241,214.693,,,
259,03/05/22 07:30:00 AM,1.47307,43.149,214.455,,,
260,03/05/22 07:45:00 AM,1.47532,43.057,214.191,,,
261,03/05/22 08:00:00 AM,1.47402,42.984,213.998,,,
262,03/05/22 08:15:00 AM,1.47547,42.931,213.807,,,
263,03/05/22 08:30:00 AM,1.47494,42.897,213.589,,,
264,03/05/22 08:45:00 AM,1.47414,42.883,213.458,,,
265,03/05/22 09:00:00 AM,1.47780,42.883,213.269,,,
266,03/05/22 09:15:00 AM,1.47738,42.917,213.037,,,
267,03/05/22 09:30:00 AM,1.47505,42.975,212.819,,,
268,03/05/22 09:45:00 AM,1.47627,43.043,212.533,,,
269,03/05/22 10:00:00 AM,1.47509,43.133,212.346,,,
