"Date Heure, GMT+01:00",Température 1 (°C),Température 2 (°C),Température 3 (°C),Température 4 (°C)
16/07/03 22:45,14.146,13.978,13.882,13.762
16/07/03 23:00,14.146,13.978,13.906,13.738
16/07/03 23:15,14.146,13.978,13.906,13.738
16/07/03 23:30,14.146,13.978,13.906,13.762
16/07/03 23:45,14.146,13.978,13.906,13.762
16/07/04 00:00,14.146,14.002,13.906,13.738
16/07/04 00:15,14.122,13.978,13.906,13.762
16/07/04 00:30,14.122,14.002,13.906,13.762
16/07/04 00:45,14.122,14.002,13.906,13.762
16/07/04 01:00,14.122,14.002,13.906,13.762
16/07/04 01:15,14.122,14.002,13.906,13.762
16/07/04 01:30,14.098,14.002,13.906,13.762
16/07/04 01:45,14.098,14.002,13.906,13.762
16/07/04 02:00,14.098,14.002,13.93,13.762
16/07/04 02:15,14.098,14.002,13.93,13.762
16/07/04 02:30,14.098,14.002,13.93,13.762
16/07/04 02:45,14.074,14.002,13.93,13.762
16/07/04 03:00,14.074,14.002,13.93,13.762
16/07/04 03:15,14.074,13.978,13.93,13.762
16/07/04 03:30,14.074,13.978,13.93,13.762
16/07/04 03:45,14.05,13.978,13.93,13.762
16/07/04 04:00,14.05,13.978,13.93,13.762
16/07/04 04:15,14.05,13.978,13.93,13.762
16/07/04 04:30,14.05,13.978,13.906,13.762
16/07/04 04:45,14.026,13.978,13.93,13.762
16/07/04 05:00,14.026,13.978,13.93,13.762
16/07/04 05:15,14.026,13.978,13.93,13.762
16/07/04 05:30,14.002,13.954,13.906,13.762
16/07/04 05:45,14.002,13.978,13.906,13.762
16/07/04 06:00,14.002,13.954,13.906,13.762
16/07/04 06:15,14.002,13.954,13.906,13.762
16/07/04 06:30,13.978,13.954,13.906,13.762
16/07/04 06:45,13.978,13.954,13.906,13.762
16/07/04 07:00,13.978,13.954,13.906,13.762
16/07/04 07:15,13.954,13.93,13.906,13.762
16/07/04 07:30,13.954,13.954,13.906,13.762
16/07/04 07:45,13.954,13.93,13.906,13.762
16/07/04 08:00,13.954,13.93,13.906,13.762
16/07/04 08:15,13.954,13.93,13.906,13.762
16/07/04 08:30,13.93,13.93,13.906,13.762
16/07/04 08:45,13.93,13.93,13.906,13.762
16/07/04 09:00,13.93,13.93,13.906,13.762
16/07/04 09:15,13.93,13.906,13.906,13.762
16/07/04 09:30,13.93,13.906,13.906,13.762
16/07/04 09:45,13.954,13.906,13.906,13.762
16/07/04 10:00,13.954,13.906,13.882,13.762
16/07/04 10:15,13.954,13.906,13.882,13.762
16/07/04 10:30,13.954,13.906,13.882,13.762
16/07/04 10:45,13.954,13.906,13.882,13.738
16/07/04 11:00,13.978,13.906,13.882,13.762
16/07/04 11:15,13.978,13.906,13.882,13.762
16/07/04 11:30,14.002,13.906,13.882,13.738
16/07/04 11:45,14.002,13.906,13.882,13.738
16/07/04 12:00,14.026,13.906,13.882,13.738
16/07/04 12:15,14.026,13.906,13.882,13.738
16/07/04 12:30,14.05,13.906,13.882,13.738
16/07/04 12:45,14.074,13.93,13.882,13.738
16/07/04 13:00,14.098,13.93,13.882,13.738
16/07/04 13:15,14.146,13.93,13.882,13.738
16/07/04 13:30,14.17,13.93,13.882,13.738
16/07/04 13:45,14.194,13.954,13.882,13.738
16/07/04 14:00,14.242,13.954,13.882,13.738
16/07/04 14:15,14.266,13.954,13.882,13.738
16/07/04 14:30,14.29,13.978,13.882,13.738
16/07/04 14:45,14.337,13.978,13.882,13.738
16/07/04 15:00,14.361,14.002,13.882,13.738
16/07/04 15:15,14.385,14.026,13.906,13.738
16/07/04 15:30,14.433,14.026,13.906,13.738
16/07/04 15:45,14.457,14.05,13.906,13.738
16/07/04 16:00,14.481,14.05,13.906,13.738
16/07/04 16:15,14.505,14.074,13.93,13.738
16/07/04 16:30,14.529,14.098,13.93,13.738
16/07/04 16:45,14.577,14.098,13.93,13.738
16/07/04 17:00,14.601,14.122,13.93,13.762
16/07/04 17:15,14.625,14.146,13.954,13.762
16/07/04 17:30,14.649,14.146,13.954,13.762
16/07/04 17:45,14.673,14.17,13.978,13.762
16/07/04 18:00,14.697,14.194,13.978,13.762
16/07/04 18:15,14.745,14.218,13.978,13.762
16/07/04 18:30,14.768,14.218,14.002,13.762
16/07/04 18:45,14.792,14.242,14.002,13.786
16/07/04 19:00,14.816,14.266,14.002,13.786
16/07/04 19:15,14.84,14.29,14.026,13.786
16/07/04 19:30,14.864,14.29,14.026,13.786
16/07/04 19:45,14.864,14.314,14.05,13.786
16/07/04 20:00,14.888,14.337,14.05,13.786
16/07/04 20:15,14.912,14.337,14.074,13.81
16/07/04 20:30,14.936,14.361,14.074,13.81
16/07/04 20:45,14.936,14.385,14.074,13.81
16/07/04 21:00,14.96,14.385,14.098,13.81
16/07/04 21:15,14.96,14.409,14.098,13.81
16/07/04 21:30,14.96,14.409,14.122,13.834
16/07/04 21:45,14.96,14.433,14.122,13.834
16/07/04 22:00,14.96,14.433,14.146,13.834
16/07/04 22:15,14.96,14.457,14.146,13.834
16/07/04 22:30,14.96,14.457,14.146,13.858
16/07/04 22:45,14.96,14.481,14.17,13.858
16/07/04 23:00,14.936,14.481,14.17,13.858
16/07/04 23:15,14.936,14.481,14.17,13.882
16/07/04 23:30,14.912,14.481,14.194,13.882
16/07/04 23:45,14.912,14.505,14.194,13.882
