Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
174,2009/11/24 11:15,14.8,15.385,15.645,15.764,,,
175,2009/11/24 11:30,14.818,15.376,15.639,15.761,,,
176,2009/11/24 11:45,14.824,15.366,15.63,15.757,,,
177,2009/11/24 12:00,14.836,15.357,15.622,15.751,,,
178,2009/11/24 12:15,14.83,15.349,15.615,15.746,,,
179,2009/11/24 12:30,14.804,15.342,15.608,15.74,,,
180,2009/11/24 12:45,14.797,15.334,15.6,15.736,,,
181,2009/11/24 13:00,14.786,15.327,15.594,15.731,,,
182,2009/11/24 13:15,14.792,15.321,15.588,15.727,,,
183,2009/11/24 13:30,14.791,15.315,15.581,15.722,,,
184,2009/11/24 13:45,14.828,15.309,15.576,15.719,,,
185,2009/11/24 14:00,14.825,15.303,15.567,15.712,,,
186,2009/11/24 14:15,14.873,15.299,15.563,15.709,,,
187,2009/11/24 14:30,14.874,15.296,15.557,15.703,,,
188,2009/11/24 14:45,14.885,15.291,15.549,15.697,,,
189,2009/11/24 15:00,14.883,15.288,15.542,15.693,,,
190,2009/11/24 15:15,14.886,15.284,15.536,15.687,,,
191,2009/11/24 15:30,14.91,15.281,15.531,15.682,,,
192,2009/11/24 15:45,14.924,15.281,15.527,15.678,,,
193,2009/11/24 16:00,14.945,15.281,15.521,15.673,,,
194,2009/11/24 16:15,14.987,15.281,15.518,15.669,,,
195,2009/11/24 16:30,14.992,15.282,15.514,15.664,,,
196,2009/11/24 16:45,14.886,15.281,15.509,15.66,,,
197,2009/11/24 17:00,14.861,15.278,15.506,15.655,,,
198,2009/11/24 17:15,14.846,15.273,15.502,15.651,,,
199,2009/11/24 17:30,14.818,15.27,15.499,15.646,,,
200,2009/11/24 17:45,14.828,15.263,15.494,15.642,,,
201,2009/11/24 18:00,14.874,15.257,15.491,15.639,,,
202,2009/11/24 18:15,14.907,15.254,15.487,15.634,,,
203,2009/11/24 18:30,14.891,15.251,15.482,15.631,,,
204,2009/11/24 18:45,14.833,15.248,15.479,15.627,,,
205,2009/11/24 19:00,14.828,15.242,15.475,15.622,,,
206,2009/11/24 19:15,14.764,15.236,15.47,15.618,,,
207,2009/11/24 19:30,14.702,15.228,15.467,15.615,,,
208,2009/11/24 19:45,14.635,15.218,15.463,15.611,,,
209,2009/11/24 20:00,14.56,15.206,15.458,15.608,,,
210,2009/11/24 20:15,14.512,15.193,15.454,15.603,,,
211,2009/11/24 20:30,14.518,15.181,15.448,15.599,,,
212,2009/11/24 20:45,14.448,15.169,15.443,15.596,,,
213,2009/11/24 21:00,14.379,15.152,15.437,15.591,,,
214,2009/11/24 21:15,14.339,15.136,15.431,15.588,,,
215,2009/11/24 21:30,14.298,15.119,15.426,15.584,,,
216,2009/11/24 21:45,14.337,15.103,15.418,15.578,,,
217,2009/11/24 22:00,14.207,15.087,15.414,15.576,,,
218,2009/11/24 22:15,14.155,15.069,15.405,15.572,,,
219,2009/11/24 22:30,14.105,15.051,15.396,15.566,,,
220,2009/11/24 22:45,14.068,15.031,15.396,15.564,,,
221,2009/11/24 23:00,14.05,15.01,15.384,15.56,,,
222,2009/11/24 23:15,14.063,14.997,15.372,15.552,,,
223,2009/11/24 23:30,13.999,14.982,15.363,15.543,,,
224,2009/11/24 23:45,13.937,14.964,15.36,15.539,,,
225,2009/12/24 0:00,13.88,14.94,15.345,15.546,,,
226,2009/12/24 0:15,13.898,14.919,15.358,15.542,,,
227,2009/12/24 0:30,13.84,14.9,15.337,15.525,,,
228,2009/12/24 0:45,13.828,14.88,15.333,15.527,,,
229,2009/12/24 1:00,13.789,14.864,15.34,15.523,,,
230,2009/12/24 1:15,13.769,14.845,15.334,15.517,,,
231,2009/12/24 1:30,13.732,14.825,15.326,15.509,,,
232,2009/12/24 1:45,13.696,14.806,15.317,15.502,,,
233,2009/12/24 2:00,13.658,14.786,15.308,15.493,,,
234,2009/12/24 2:15,13.611,14.765,15.297,15.485,,,
235,2009/12/24 2:30,13.58,14.746,15.288,15.475,,,
236,2009/12/24 2:45,13.538,14.725,15.278,15.466,,,
237,2009/12/24 3:00,13.515,14.705,15.27,15.457,,,
238,2009/12/24 3:15,13.511,14.686,15.26,15.446,,,
239,2009/12/24 3:30,13.448,14.667,15.251,15.437,,,
240,2009/12/24 3:45,13.377,14.644,15.242,15.429,,,
