Plot Title: Hobo8,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)",Hôte connecté (LGR S/N: 21101045),Arrêté (LGR S/N: 21101045),Fin de fichier (LGR S/N: 21101045)
225,08/29/24 07:30:00 PM,-14.558,16.613,16.738,16.997,,,
226,08/29/24 07:45:00 PM,-14.553,16.615,16.743,17.005,,,
227,08/29/24 08:00:00 PM,-14.535,16.616,16.749,17.012,,,
228,08/29/24 08:15:00 PM,-14.484,16.621,16.755,17.021,,,
229,08/29/24 08:30:00 PM,-14.423,16.622,16.762,17.03,,,
230,08/29/24 08:45:00 PM,-14.406,16.627,16.769,17.037,,,
231,08/29/24 09:00:00 PM,-14.359,16.624,16.771,17.042,,,
232,08/29/24 09:15:00 PM,-14.33,16.636,16.79,17.052,,,
233,08/29/24 09:30:00 PM,-14.274,16.633,16.799,17.058,,,
234,08/29/24 09:45:00 PM,-14.232,16.627,16.811,17.067,,,
235,08/29/24 09:58:05 PM,,,,,,,
236,08/29/24 09:58:07 PM,,,,,,,
237,08/29/24 09:58:08 PM,,,,,,,
238,08/29/24 09:58:09 PM,,,,,,,
239,08/29/24 10:00:00 PM,-14.176,16.631,16.82,17.073,,,
240,08/29/24 10:00:09 PM,,,,,,,
241,08/29/24 10:00:31 PM,,,,,,,
242,08/29/24 10:03:46 PM,,,,,,,
243,08/29/24 10:03:47 PM,,,,,,,
244,08/29/24 10:03:59 PM,,,,,,,
245,08/29/24 10:04:30 PM,,,,,,,
246,08/29/24 10:04:48 PM,,,,,,,
247,08/29/24 10:05:09 PM,,,,,,,
248,08/29/24 10:06:12 PM,,,,,,,
249,08/29/24 10:08:02 PM,,,,,,,
250,08/29/24 10:14:21 PM,,,,,,,
251,08/29/24 10:15:00 PM,-14.133,16.634,16.829,17.077,,,
252,08/29/24 10:19:14 PM,,,,,,,
253,08/29/24 10:30:00 PM,-14.087,16.637,16.833,17.082,,,
254,08/29/24 10:45:00 PM,-14.036,16.64,16.835,17.083,,,
255,08/29/24 11:00:00 PM,-13.983,16.644,16.839,17.085,,,
256,08/29/24 11:15:00 PM,-13.985,16.649,16.847,17.086,,,
257,08/29/24 11:30:00 PM,-13.968,16.653,16.853,17.086,,,
258,08/29/24 11:45:00 PM,-13.959,16.658,16.86,17.086,,,
259,08/30/24 12:00:00 AM,-13.939,16.664,16.869,17.085,,,
260,08/30/24 12:15:00 AM,-13.91,16.668,16.874,17.083,,,
261,08/30/24 12:30:00 AM,-13.884,16.674,16.88,17.082,,,
262,08/30/24 12:45:00 AM,-13.893,16.677,16.883,17.077,,,
263,08/30/24 01:00:00 AM,-13.869,16.682,16.886,17.071,,,
264,08/30/24 01:15:00 AM,-13.857,16.685,16.887,17.067,,,
265,08/30/24 01:30:00 AM,-13.824,16.686,16.887,17.06,,,
266,08/30/24 01:45:00 AM,-13.792,16.691,16.888,17.052,,,
267,08/30/24 02:00:00 AM,-13.788,16.694,16.89,17.045,,,
268,08/30/24 02:15:00 AM,-13.768,16.697,16.891,17.033,,,
269,08/30/24 02:30:00 AM,-13.761,16.7,16.891,17.024,,,
270,08/30/24 02:45:00 AM,-13.735,16.702,16.893,17.015,,,
271,08/30/24 03:00:00 AM,-13.725,16.705,16.89,17.005,,,
272,08/30/24 03:15:00 AM,-13.725,16.707,16.888,16.994,,,
273,08/30/24 03:30:00 AM,-13.649,16.71,16.887,16.984,,,
274,08/30/24 03:45:00 AM,-13.625,16.711,16.884,16.973,,,
275,08/30/24 04:00:00 AM,-13.541,16.711,16.881,16.961,,,
276,08/30/24 04:15:00 AM,-13.52,16.713,16.877,16.948,,,
277,08/30/24 04:27:08 AM,,,,,,,
278,08/30/24 04:27:11 AM,,,,,,,
279,08/30/24 04:27:14 AM,,,,,,,
280,08/30/24 04:27:33 AM,,,,,,,
281,08/30/24 04:28:06 AM,,,,,,,
282,08/30/24 04:28:20 AM,,,,,,,
283,08/30/24 04:29:23 AM,,,,,,,
284,08/30/24 04:30:00 AM,-13.444,16.713,16.874,16.936,,,
285,08/30/24 04:30:08 AM,,,,,,,
286,08/30/24 04:30:48 AM,,,,,,,
287,08/30/24 04:30:53 AM,,,,,,,
288,08/30/24 04:31:00 AM,,,,,,,
289,08/30/24 04:31:43 AM,,,,,,,
290,08/30/24 04:32:24 AM,,,,,,,
291,08/30/24 04:34:24 AM,,,,,,,
292,08/30/24 04:34:28 AM,,,,,,,
293,08/30/24 04:35:52 AM,,,,,,,
294,08/30/24 04:36:01 AM,,,,,,,
295,08/30/24 04:39:25 AM,,,,,,,
296,08/30/24 04:39:35 AM,,,,,,,
297,08/30/24 04:42:15 AM,,,,,,,
298,08/30/24 04:42:16 AM,,,,,,,
299,08/30/24 04:42:17 AM,,,,,,,
300,08/30/24 04:45:00 AM,-13.427,16.713,16.869,16.923,,,
301,08/30/24 05:00:00 AM,-13.42,16.713,16.865,16.911,,,
302,08/30/24 05:15:00 AM,-13.406,16.711,16.857,16.897,,,
303,08/30/24 05:30:00 AM,-13.401,16.708,16.851,16.884,,,
304,08/30/24 05:45:00 AM,-13.358,16.707,16.845,16.871,,,
305,08/30/24 06:00:00 AM,-13.365,16.705,16.839,16.863,,,
306,08/30/24 06:15:00 AM,-13.32,16.705,16.835,16.851,,,
307,08/30/24 06:30:00 AM,-13.296,16.704,16.829,16.838,,,
308,08/30/24 06:45:00 AM,-13.247,16.702,16.825,16.826,,,
309,08/30/24 06:53:02 AM,,,,,,,
310,08/30/24 06:53:17 AM,,,,,,,
311,08/30/24 06:53:19 AM,,,,,,,
312,08/30/24 06:53:24 AM,,,,,,,
313,08/30/24 06:53:25 AM,,,,,,,
314,08/30/24 06:53:39 AM,,,,,,,
315,08/30/24 06:53:41 AM,,,,,,,
316,08/30/24 06:57:35 AM,,,,,,,
317,08/30/24 06:57:37 AM,,,,,,,
318,08/30/24 06:57:39 AM,,,,,,,
319,08/30/24 06:57:42 AM,,,,,,,
320,08/30/24 06:57:59 AM,,,,,,,
321,08/30/24 06:58:00 AM,,,,,,,
322,08/30/24 06:58:01 AM,,,,,,,
323,08/30/24 06:58:08 AM,,,,,,,
324,08/30/24 06:58:10 AM,,,,,,,
325,08/30/24 06:58:11 AM,,,,,,,
326,08/30/24 06:58:12 AM,,,,,,,
327,08/30/24 06:58:13 AM,,,,,,,
328,08/30/24 06:58:27 AM,,,,,,,
329,08/30/24 06:58:41 AM,,,,,,,
330,08/30/24 06:59:02 AM,,,,,,,
331,08/30/24 06:59:03 AM,,,,,,,
332,08/30/24 06:59:18 AM,,,,,,,
333,08/30/24 06:59:19 AM,,,,,,,
334,08/30/24 06:59:25 AM,,,,,,,
335,08/30/24 06:59:26 AM,,,,,,,
336,08/30/24 06:59:47 AM,,,,,,,
337,08/30/24 06:59:53 AM,,,,,,,
338,08/30/24 06:59:59 AM,,,,,,,
339,08/30/24 07:00:00 AM,-13.268,16.7,16.816,16.811,,,
340,08/30/24 07:00:10 AM,,,,,,,
341,08/30/24 07:00:57 AM,,,,,,,
342,08/30/24 07:01:15 AM,,,,,,,
343,08/30/24 07:01:23 AM,,,,,,,
